Date,Open,High,Low,Close
24/12/2012,1669.4,1669.4,1669.4,1669.4
26/12/2012,1671.58,1671.58,1671.58,1671.58
27/12/2012,1674.16,1674.16,1674.16,1674.16
28/12/2012,1681.33,1681.33,1681.33,1681.33
31/12/2012,1688.95,1688.95,1688.95,1688.95
02/01/2013,1674.72,1674.72,1674.72,1674.72
03/01/2013,1692.65,1692.65,1692.65,1692.65
04/01/2013,1692.58,1692.58,1692.58,1692.58
07/01/2013,1694.16,1694.16,1694.16,1694.16
08/01/2013,1688.91,1688.91,1688.91,1688.91
09/01/2013,1689.93,1689.93,1689.93,1689.93
10/01/2013,1684.57,1684.57,1684.57,1684.57
11/01/2013,1682.7,1682.7,1682.7,1682.7
14/01/2013,1684.63,1684.63,1684.63,1684.63
15/01/2013,1685.89,1685.89,1685.89,1685.89
16/01/2013,1682.95,1682.95,1682.95,1682.95
17/01/2013,1681.09,1681.09,1681.09,1681.09
18/01/2013,1676.44,1676.44,1676.44,1676.44
21/01/2013,1635.63,1635.63,1635.63,1635.63
22/01/2013,1628.66,1628.66,1628.66,1628.66
23/01/2013,1635.25,1635.25,1635.25,1635.25
24/01/2013,1635.25,1635.25,1635.25,1635.25
25/01/2013,1637.13,1637.13,1637.13,1637.13
28/01/2013,1637.13,1637.13,1637.13,1637.13
29/01/2013,1637.34,1637.34,1637.34,1637.34
30/01/2013,1627.73,1627.73,1627.73,1627.73
31/01/2013,1627.55,1627.55,1627.55,1627.55
01/02/2013,1627.55,1627.55,1627.55,1627.55
04/02/2013,1634.55,1634.55,1634.55,1634.55
05/02/2013,1633.35,1633.35,1633.35,1633.35
06/02/2013,1614.14,1614.14,1614.14,1614.14
07/02/2013,1619.57,1619.57,1619.57,1619.57
08/02/2013,1623.8,1623.8,1623.8,1623.8
11/02/2013,1623.8,1623.8,1623.8,1623.8
12/02/2013,1623.8,1623.8,1623.8,1623.8
13/02/2013,1631.16,1631.16,1631.16,1631.16
14/02/2013,1630.89,1630.89,1630.89,1630.89
15/02/2013,1627.93,1627.93,1627.93,1627.93
18/02/2013,1620.93,1620.93,1620.93,1620.93
19/02/2013,1615.07,1615.07,1615.07,1615.07
20/02/2013,1613.33,1613.33,1613.33,1613.33
21/02/2013,1614.05,1614.05,1614.05,1614.05
22/02/2013,1622.08,1622.08,1622.08,1622.08
